"Reported by";"Reported on";"Functional group";"Priority";"Rejected";"Ticket step";"Ticket state"
"EdMendoza";"2017-12-12";"Media";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-12-08";"Connectivity";"C(3)";"N";"Categorizing";"Entered"
"JBanuelos";"2017-12-08";"Tuners";"C(3)";"N";"Categorizing";"Entered"
"AlbGuzman";"2017-12-08";"Tuners";"A(1)";"N";"Categorizing";"Entered"
"AlLopez";"2017-12-07";"HMI";"B(2)";"N";"Categorizing";"Entered"
"AlLopez";"2017-12-06";"VR-Speech";"A(1)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-12-05";"Connectivity";"C(3)";"N";"Reproduction";"Categorized"
"JBanuelos";"2017-12-01";"HMI";"C(3)";"N";"Categorizing";"Entered"
"JBanuelos";"2017-11-30";"Bluetooth-WIFI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"Connectivity";"C(3)";"N";"Reproduction";"Categorized"
"DVillegas";"2017-11-30";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-30";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"Systems";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"D(4)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"D(4)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"Tuners";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-28";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-20";"VR-Speech";"C(3)";"N";"Processing";"Categorized"
"DVillegas";"2017-11-20";"Systems";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-20";"GM Suppliers";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-20";"Project";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-19";"Project";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-19";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-19";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-19";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-16";"HMI";"A(1)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-16";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-15";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-11-03";"Connectivity";"B(2)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-11-03";"Bluetooth-WIFI";"C(3)";"N";"Reproduction";"Categorized"
"JBanuelos";"2017-11-02";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-11-02";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-10-31";"HMI";"B(2)";"N";"Categorizing";"Entered"
"JBanuelos";"2017-10-30";"Bluetooth-WIFI";"B(2)";"N";"Reproduction";"Categorized"
"EdMendoza";"2017-10-28";"Systems";"B(2)";"N";"Categorizing";"Entered"
"EdMendoza";"2017-10-28";"HMI";"D(4)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-10-28";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"NIslas";"2017-10-28";"Security";"A(1)";"N";"Processing";"Categorized"
"EdMendoza";"2017-10-27";"Systems";"C(3)";"Y";"Concluding";"Categorized"
"NIslas";"2017-10-26";"Security";"B(2)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-10-26";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-10-25";"Connectivity";"B(2)";"Y";"Concluding";"Categorized"
"JGalvez";"2017-10-25";"HMI";"B(2)";"N";"Categorizing";"Entered"
"JGalvez";"2017-10-25";"Media";"B(2)";"Y";"Concluding";"Categorized"
"JGalvez";"2017-10-25";"Media";"B(2)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-10-25";"Systems";"C(3)";"Y";"Concluding";"Categorized"
"JGalvez";"2017-10-19";"Media";"B(2)";"Y";"Concluding";"Categorized"
"JGalvez";"2017-10-17";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-10-12";"Systems";"A(1)";"N";"Processing";"Categorized"
"DVillegas";"2017-10-10";"Audio-DSP-Audio Mgr";"B(2)";"N";"Reproduction";"Categorized"
"DVillegas";"2017-10-10";"Bluetooth-WIFI";"B(2)";"N";"Reproduction";"Categorized"
"DVillegas";"2017-10-09";"Bluetooth-WIFI";"B(2)";"N";"Reproduction";"Categorized"
"DVillegas";"2017-10-09";"Connectivity";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-10-09";"Connectivity";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-10-09";"Connectivity";"C(3)";"Y";"Concluding";"Categorized"
"AlbGuzman";"2017-10-06";"HMI";"B(2)";"N";"Categorizing";"Entered"
"AlLopez";"2017-10-06";"HMI";"A(1)";"N";"Categorizing";"Entered"
"JBanuelos";"2017-10-05";"Connectivity";"B(2)";"N";"Reproduction";"Categorized"
"AlLopez";"2017-10-03";"HMI";"B(2)";"N";"Categorizing";"Entered"
"DVillegas";"2017-09-29";"Bluetooth-WIFI";"B(2)";"Y";"Concluding";"Categorized"
"AlLopez";"2017-09-29";"Tuners";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-26";"HMI";"B(2)";"N";"Categorizing";"Entered"
"JBanuelos";"2017-09-26";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-09-26";"Systems";"A(1)";"N";"Categorizing";"Entered"
"NIslas";"2017-09-26";"Security";"B(2)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-09-25";"Audio-DSP-Audio Mgr";"B(2)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-23";"Bluetooth-WIFI";"C(3)";"N";"Categorizing";"Entered"
"JBanuelos";"2017-09-23";"Media";"C(3)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-09-22";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-22";"HMI";"D(4)";"N";"Categorizing";"Entered"
"EdMendoza";"2017-09-21";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-21";"HMI";"C(3)";"N";"Categorizing";"Entered"
"DVillegas";"2017-09-21";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-21";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-09-20";"HMI";"A(1)";"N";"Concluding";"Verified"
"JBanuelos";"2017-09-20";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"EdMendoza";"2017-09-19";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-19";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-19";"HMI";"D(4)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-19";"Connectivity";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-19";"Bluetooth-WIFI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"DVillegas";"2017-09-19";"Connectivity";"C(3)";"Y";"Concluding";"Categorized"
"JBanuelos";"2017-09-19";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"JGalvez";"2017-09-13";"HMI";"B(2)";"N";"Categorizing";"Entered"
"JGalvez";"2017-09-11";"Media";"B(2)";"Y";"Concluding";"Categorized"
