"Reported by";"Reported on";"Functional group";"Priority";"Rejected";"Ticket step";"Ticket state"
"ManMartinez";"2017-12-15";"Tuners";"B(2)";"N";"Categorizing";"Entered"
"AAmbrosio";"2017-12-13";"Navigation";"C(3)";"N";"Categorizing";"Entered"
"AAmbrosio";"2017-12-13";"Tuners";"C(3)";"N";"Categorizing";"Entered"
"AAmbrosio";"2017-12-13";"Navigation";"C(3)";"N";"Categorizing";"Entered"
"DMolina";"2017-12-12";"Media";"B(2)";"N";"Processing";"Categorized"
"DMolina";"2017-12-12";"Media";"B(2)";"N";"Reproduction";"Categorized"
"AAmbrosio";"2017-12-12";"Navigation";"B(2)";"N";"Categorizing";"Entered"
"PRodriguez";"2017-12-11";"Project";"C(3)";"N";"Categorizing";"Entered"
"MKarg";"2017-12-09";"Systems";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-12-09";"HMI";"A(1)";"N";"Reproduction";"Categorized"
"MKarg";"2017-12-08";"Tuners";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-12-08";"Systems";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-12-08";"Bluetooth-WIFI";"A(1)";"N";"Processing";"Categorized"
"AAmbrosio";"2017-12-08";"Navigation";"B(2)";"N";"Categorizing";"Entered"
"ANieto";"2017-12-07";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-12-07";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
"MaDiaz";"2017-12-07";"VR-Speech";"A(1)";"Y";"Concluding";"Categorized"
"ANieto";"2017-12-06";"VR-Speech";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-12-05";"Bluetooth-WIFI";"B(2)";"N";"Reproduction";"Categorized"
"AAmbrosio";"2017-12-05";"Navigation";"B(2)";"N";"Reproduction";"Categorized"
"PRodriguez";"2017-12-01";"Project";"C(3)";"N";"Categorizing";"Entered"
"MKarg";"2017-12-01";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-12-01";"Navigation";"B(2)";"N";"Categorizing";"Entered"
"ANieto";"2017-11-30";"Aha_Cloud_Services";"B(2)";"N";"Categorizing";"Entered"
"AAmbrosio";"2017-11-30";"Navigation";"A(1)";"N";"Processing";"Categorized"
"MKarg";"2017-11-30";"Systems";"B(2)";"N";"Categorizing";"Entered"
"AAmbrosio";"2017-11-30";"Navigation";"B(2)";"N";"PreIntegrating";"Processed"
"DMolina";"2017-11-29";"Navigation";"B(2)";"Y";"Concluding";"Categorized"
"DMolina";"2017-11-29";"Bluetooth-WIFI";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-27";"Tuners";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Processing";"Categorized"
"MKarg";"2017-11-27";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Integrating";"Processed"
"MKarg";"2017-11-27";"Framework-Apps";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-27";"Audio-DSP-Audio Mgr";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-27";"Systems";"B(2)";"N";"Categorizing";"Entered"
"AAmbrosio";"2017-11-24";"Navigation";"C(3)";"N";"Processing";"Categorized"
"DMolina";"2017-11-24";"Navigation";"B(2)";"Y";"Concluding";"Categorized"
"ManMartinez";"2017-11-23";"Tuners";"B(2)";"Y";"Concluding";"Categorized"
"ManMartinez";"2017-11-23";"Tuners";"B(2)";"N";"PreIntegrating";"Processed"
"ManMartinez";"2017-11-23";"Navigation";"B(2)";"Y";"Concluding";"Categorized"
"MaDiaz";"2017-11-22";"Tuners";"B(2)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-11-22";"Navigation";"A(1)";"N";"Integrating";"Processed"
"DMolina";"2017-11-21";"Navigation";"B(2)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-11-21";"Navigation";"C(3)";"N";"PreIntegrating";"Processed"
"MKarg";"2017-11-21";"Tuners";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-21";"Bluetooth-WIFI";"B(2)";"N";"Integrating";"Processed"
"MKarg";"2017-11-17";"Tuners";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-17";"Systems";"A(1)";"N";"Categorizing";"Entered"
"DMolina";"2017-11-16";"Requirements";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-10";"Navigation";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-10";"Systems";"B(2)";"N";"Integrating";"Processed"
"MKarg";"2017-11-10";"Aha_Cloud_Services";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-10";"Bluetooth-WIFI";"B(2)";"N";"Verifying";"Integrated"
"MKarg";"2017-11-10";"Connectivity";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-10";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-10";"HMI";"C(3)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-10";"Tuners";"B(2)";"N";"Reproduction";"Categorized"
"MKarg";"2017-11-09";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-09";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-09";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-09";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-09";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-11-09";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-06";"Tuners";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-06";"Systems";"A(1)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-06";"Systems";"A(1)";"N";"Concluding";"Verified"
"MKarg";"2017-11-06";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"MKarg";"2017-11-06";"Systems";"B(2)";"N";"Integrating";"Processed"
"MKarg";"2017-11-03";"Systems";"B(2)";"N";"Categorizing";"Entered"
"MKarg";"2017-11-03";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"ANieto";"2017-11-02";"IOC-Veh Network Mgmt-Diagnostics";"B(2)";"Y";"Concluding";"Categorized"
"DMolina";"2017-10-27";"Systems";"B(2)";"N";"Concluding";"Verified"
"MKarg";"2017-10-26";"Systems";"B(2)";"Y";"Concluding";"Categorized"
"AAmbrosio";"2017-10-20";"Project";"B(2)";"Y";"Concluding";"Categorized"
